date,rides,member_share,avg_temp_c
2022-01-01,592,0.543918918918919,11.6
2022-01-02,1248,0.5849358974358975,11.4
2022-01-03,832,0.7728365384615384,1.4
2022-01-04,934,0.7762312633832976,-2.7
2022-01-05,914,0.75054704595186,3.2
2022-01-06,1297,0.7625289128758674,4.9
2022-01-07,459,0.7690631808278867,0.7
2022-01-08,713,0.7068723702664796,-2.5
2022-01-09,636,0.6808176100628931,1.4
2022-01-10,859,0.7660069848661234,1.6
2022-01-11,683,0.7613469985358712,-5.4
2022-01-12,1057,0.7795648060548723,-1.9
2022-01-13,1208,0.7549668874172185,4.0
2022-01-14,1091,0.7387717690192483,4.8
2022-01-15,670,0.7253731343283583,-6.7
2022-01-16,506,0.7075098814229249,-8.0
2022-01-17,730,0.7575342465753425,3.9
2022-01-18,1042,0.8099808061420346,1.8
2022-01-19,1374,0.7743813682678311,3.2
2022-01-20,830,0.7771084337349398,5.1
2022-01-21,800,0.78375,-6.0
2022-01-22,892,0.6917040358744395,-5.9
2022-01-23,940,0.7063829787234043,-0.7
2022-01-24,1026,0.783625730994152,-0.2
2022-01-25,1276,0.780564263322884,3.6
2022-01-26,1149,0.8128807658833769,-2.3
2022-01-27,1133,0.7625772285966461,-4.2
2022-01-28,894,0.8042505592841164,0.1
2022-01-29,111,0.7117117117117117,-4.8
2022-01-30,295,0.7254237288135593,-7.1
2022-01-31,571,0.8021015761821366,-3.4
2022-02-01,765,0.788235294117647,-1.7
2022-02-02,1028,0.8073929961089494,2.3
2022-02-03,653,0.7978560490045942,6.4
2022-02-04,498,0.7931726907630522,5.8
2022-02-05,831,0.7027677496991577,-2.8
2022-02-06,803,0.7559153175591532,-4.8
2022-02-07,777,0.842985842985843,0.5
2022-02-08,1349,0.815418828762046,4.1
2022-02-09,1427,0.767344078486335,2.8
2022-02-10,1558,0.7747111681643132,6.3
2022-02-11,1769,0.6998304126625212,8.6
2022-02-12,1983,0.5264750378214826,11.8
2022-02-13,577,0.6516464471403813,2.8
2022-02-14,858,0.8216783216783217,-4.3
2022-02-15,1081,0.8223866790009251,-4.7
2022-02-16,1362,0.7929515418502202,1.6
2022-02-17,1695,0.7421828908554572,11.6
2022-02-18,1262,0.7171156893819335,9.9
2022-02-19,803,0.6749688667496887,0.1
2022-02-20,923,0.6966413867822319,-2.6
2022-02-21,1457,0.5991763898421414,4.1
2022-02-22,1050,0.7942857142857143,5.6
2022-02-23,1823,0.7334064728469556,14.4
2022-02-24,1307,0.8087222647283856,1.1
2022-02-25,838,0.7553699284009546,0.8
2022-02-26,1198,0.6769616026711185,-1.1
2022-02-27,1066,0.6772983114446529,2.4
2022-02-28,1170,0.8162393162393162,0.8
2022-03-01,1510,0.8132450331125828,2.6
2022-03-02,1804,0.7483370288248337,7.7
2022-03-03,1449,0.7957211870255348,5.6
2022-03-04,1465,0.7665529010238907,-1.9
2022-03-05,1459,0.630568882796436,3.1
2022-03-06,1659,0.5340566606389391,9.6
2022-03-07,1804,0.7372505543237251,18.2
2022-03-08,1604,0.7886533665835411,8.7
2022-03-09,732,0.8142076502732241,3.2
2022-03-10,1660,0.7385542168674699,4.0
2022-03-11,1960,0.6637755102040817,7.2
2022-03-12,460,0.7043478260869566,5.1
2022-03-13,781,0.7093469910371318,-2.3
2022-03-14,1734,0.7439446366782007,5.3
2022-03-15,2133,0.7172995780590717,11.6
2022-03-16,2269,0.6954605553107096,13.6
2022-03-17,1414,0.731966053748232,8.2
2022-03-18,2728,0.5802785923753666,13.9
2022-03-19,2594,0.49961449498843485,13.1
2022-03-20,1910,0.5481675392670157,14.3
2022-03-21,2021,0.706580900544285,10.4
2022-03-22,2058,0.7244897959183674,10.7
2022-03-23,1653,0.764670296430732,7.2
2022-03-24,1412,0.7662889518413598,5.7
2022-03-25,2195,0.6624145785876994,9.6
2022-03-26,1858,0.5694294940796556,10.4
2022-03-27,1303,0.6162701458173446,5.9
2022-03-28,1046,0.8183556405353728,-1.5
2022-03-29,1438,0.8115438108484005,-1.2
2022-03-30,1657,0.7942063971031985,2.6
2022-03-31,1901,0.7380326144134666,9.9
2022-04-01,1816,0.6916299559471366,13.1
2022-04-02,2193,0.5376196990424077,7.2
2022-04-03,1035,0.6367149758454106,7.0
2022-04-04,1837,0.7610234077299945,7.6
2022-04-05,2026,0.7566633761105627,9.7
2022-04-06,1364,0.7609970674486803,8.6
2022-04-07,952,0.8098739495798319,9.1
2022-04-08,2553,0.6290638464551508,12.8
2022-04-09,1933,0.5804449042938438,11.4
2022-04-10,1500,0.6073333333333333,8.6
2022-04-11,1926,0.7429906542056075,8.8
2022-04-12,2380,0.6815126050420168,13.4
2022-04-13,2572,0.6772939346811819,15.4
2022-04-14,2323,0.6745587602238484,16.3
2022-04-15,2849,0.5412425412425412,15.7
2022-04-16,2333,0.5079297042434634,15.7
2022-04-17,1300,0.6084615384615385,8.3
2022-04-18,1467,0.7634628493524199,7.9
2022-04-19,1635,0.746177370030581,7.6
2022-04-20,2344,0.6710750853242321,9.4
2022-04-21,2135,0.7091334894613583,10.6
2022-04-22,2847,0.6178433438707411,14.6
2022-04-23,2927,0.5124701059104886,13.3
2022-04-24,2656,0.5015060240963856,12.8
2022-04-25,1925,0.7158441558441558,10.4
2022-04-26,2035,0.7577395577395577,11.5
2022-04-27,2083,0.7546807489198272,11.6
2022-04-28,2095,0.7097852028639619,8.2
2022-04-29,2372,0.6555649241146712,10.4
2022-04-30,3115,0.5078651685393258,12.9
2022-05-01,3163,0.4834018337021815,13.6
2022-05-02,1557,0.74373795761079,12.1
2022-05-03,2429,0.7274598600247015,12.4
2022-05-04,2161,0.6996760758907913,12.0
2022-05-05,3108,0.6447876447876448,17.2
