date,avg_temp_c,tmin_c,tmax_c,precip_mm,snow_mm,snow_depth_mm,wind_mps,wind_kph,gust_mps,gust_kph,wt01,wt02,wt03,wt04,wt06,wt08,wt09,wet_day,precip_bin,wind_bin
2022-01-01,11.6,10.0,13.9,19.3,0.0,0.0,2.8,10.08,7.6,27.36,1,1,0,0,0,0,0,1,High,Breeze
2022-01-02,11.4,3.9,15.6,1.0,0.0,0.0,4.3,15.48,14.8,53.28,1,1,0,0,0,0,0,1,Low,Breeze
2022-01-03,1.4,-4.3,3.9,0.0,0.0,0.0,6.4,23.040000000000003,15.2,54.72,0,0,0,0,0,0,0,0,Low,Windy
2022-01-04,-2.7,-6.0,2.2,0.0,0.0,0.0,3.9,14.04,12.1,43.56,0,0,0,0,0,0,0,0,Low,Breeze
2022-01-05,3.2,0.0,8.9,6.1,0.0,0.0,3.4,12.24,10.7,38.519999999999996,1,0,0,0,1,1,0,1,Medium,Breeze
2022-01-06,4.9,2.2,6.1,0.0,0.0,0.0,5.0,18.0,14.8,53.28,0,0,0,0,0,0,0,0,Low,Breeze
2022-01-07,0.7,-2.1,2.2,8.4,24.6,20.0,8.3,29.880000000000003,17.4,62.63999999999999,1,1,0,0,0,1,0,1,Medium,Windy
2022-01-08,-2.5,-4.9,0.0,0.0,0.0,13.0,4.8,17.28,15.7,56.519999999999996,0,0,0,0,0,0,0,0,Low,Breeze
2022-01-09,1.4,-1.0,5.6,2.8,0.0,8.0,4.9,17.64,12.1,43.56,1,0,0,0,0,0,0,1,Low,Breeze
2022-01-10,1.6,-3.2,5.6,0.0,0.0,0.0,7.5,27.0,15.7,56.519999999999996,0,0,0,0,0,0,0,0,Low,Windy
2022-01-11,-5.4,-8.2,-3.2,0.0,0.0,0.0,6.4,23.040000000000003,16.5,59.4,1,0,0,0,0,0,0,0,Low,Windy
2022-01-12,-1.9,-6.6,5.6,0.0,0.0,0.0,4.4,15.840000000000002,11.2,40.32,0,0,0,0,0,0,0,0,Low,Breeze
2022-01-13,4.0,0.6,7.8,0.0,0.0,0.0,2.6,9.360000000000001,7.6,27.36,0,0,0,0,0,0,0,0,Low,Calm
2022-01-14,4.8,-5.5,6.1,0.0,0.0,0.0,7.6,27.36,18.3,65.88000000000001,0,0,0,0,0,0,0,0,Low,Windy
2022-01-15,-6.7,-10.5,-5.5,0.0,0.0,0.0,5.8,20.88,13.9,50.04,0,0,0,0,0,0,0,0,Low,Windy
2022-01-16,-8.0,-12.1,4.4,9.1,1.5,0.0,5.5,19.8,13.0,46.800000000000004,1,0,0,0,0,0,0,1,Medium,Breeze
2022-01-17,3.9,1.7,7.8,26.9,0.0,0.0,8.6,30.96,19.2,69.12,1,0,0,0,0,1,0,1,High,Very Windy
2022-01-18,1.8,-0.5,3.3,0.0,0.0,0.0,8.4,30.240000000000002,19.2,69.12,0,0,0,0,0,0,0,0,Low,Very Windy
2022-01-19,3.2,-1.6,10.6,0.0,0.0,0.0,4.7,16.92,13.0,46.800000000000004,0,0,0,0,0,1,0,0,Low,Breeze
2022-01-20,5.1,-4.9,8.3,6.4,0.8,0.0,5.4,19.44,12.1,43.56,1,0,0,0,0,0,0,1,Medium,Breeze
2022-01-21,-6.0,-9.3,-4.9,0.0,0.0,0.0,6.2,22.32,13.9,50.04,0,0,0,0,0,0,0,0,Low,Windy
2022-01-22,-5.9,-9.9,-1.0,0.0,0.0,0.0,3.4,12.24,8.9,32.04,0,0,0,0,0,0,0,0,Low,Breeze
2022-01-23,-0.7,-3.2,3.3,0.3,0.5,0.0,4.2,15.120000000000001,12.1,43.56,1,0,0,0,0,1,0,1,Low,Breeze
2022-01-24,-0.2,-2.1,3.3,0.0,0.5,0.0,3.6,12.96,8.5,30.6,0,0,0,0,0,1,0,0,Low,Breeze
2022-01-25,3.6,-1.0,6.1,0.0,0.0,0.0,4.7,16.92,12.5,45.0,0,0,0,0,0,1,0,0,Low,Breeze
2022-01-26,-2.3,-6.0,-1.0,0.0,0.0,0.0,5.6,20.16,14.3,51.480000000000004,0,0,0,0,0,0,0,0,Low,Windy
2022-01-27,-4.2,-7.7,0.0,0.0,0.0,0.0,3.7,13.32,9.4,33.84,0,0,0,0,0,1,0,0,Low,Breeze
2022-01-28,0.1,-1.0,1.7,2.8,3.3,0.0,3.5,12.6,11.2,40.32,1,0,0,0,0,1,0,1,Low,Breeze
2022-01-29,-4.8,-9.3,-1.0,12.4,20.6,13.0,10.2,36.72,20.6,74.16000000000001,1,1,0,0,0,1,1,1,High,Very Windy
2022-01-30,-7.1,-9.9,-2.7,0.0,0.0,18.0,6.1,21.96,16.5,59.4,0,0,0,0,0,1,0,0,Low,Windy
2022-01-31,-3.4,-7.1,-1.0,0.0,0.0,15.0,2.9,10.44,7.2,25.92,0,0,0,0,0,0,0,0,Low,Breeze
2022-02-01,-1.7,-4.3,2.8,0.0,0.0,13.0,3.4,12.24,9.4,33.84,0,0,0,0,0,0,0,0,Low,Breeze
2022-02-02,2.3,-0.5,5.6,0.0,0.0,10.0,2.3,8.28,5.8,20.88,1,1,0,0,0,1,0,0,Low,Calm
